file,variable,value
gpx-1-410pts,json.cbor.zip,6889
gpx-1-410pts,json.eson.gz,10899
gpx-1-410pts,json.eson.bz2,10999
gpx-1-410pts,json.eson.zip,11047
gpx-1-420pts,json,45379
gpx-1-420pts,json.gz,9976
gpx-1-420pts,json.bz2,8006
gpx-1-420pts,json.zip,10124
gpx-1-420pts,json.bson,35399
gpx-1-420pts,json.cbor,29993
gpx-1-420pts,json.eson,21601
gpx-1-420pts,json.bson.gz,7479
gpx-1-420pts,json.bson.bz2,6551
gpx-1-420pts,json.bson.zip,7883
gpx-1-420pts,json.cbor.gz,6827
gpx-1-420pts,json.cbor.bz2,5860
gpx-1-420pts,json.cbor.zip,7002
gpx-1-420pts,json.eson.gz,11150
gpx-1-420pts,json.eson.bz2,11263
gpx-1-420pts,json.eson.zip,11298
gpx-1-430pts,json,46440
gpx-1-430pts,json.gz,10217
gpx-1-430pts,json.bz2,8188
gpx-1-430pts,json.zip,10365
gpx-1-430pts,json.bson,36239
gpx-1-430pts,json.cbor,30703
gpx-1-430pts,json.eson,22103
gpx-1-430pts,json.bson.gz,8073
gpx-1-430pts,json.bson.bz2,6663
gpx-1-430pts,json.bson.zip,7925
gpx-1-430pts,json.cbor.gz,7023
gpx-1-430pts,json.cbor.bz2,5997
gpx-1-430pts,json.cbor.zip,7225
gpx-1-430pts,json.eson.gz,11394
gpx-1-430pts,json.eson.bz2,11486
gpx-1-430pts,json.eson.zip,11542
gpx-1-440pts,json,47513
gpx-1-440pts,json.gz,10453
gpx-1-440pts,json.bz2,8338
gpx-1-440pts,json.zip,10601
gpx-1-440pts,json.bson,37079
gpx-1-440pts,json.cbor,31413
gpx-1-440pts,json.eson,22615
gpx-1-440pts,json.bson.gz,7661
gpx-1-440pts,json.bson.bz2,6866
gpx-1-440pts,json.bson.zip,8258
gpx-1-440pts,json.cbor.gz,7199
gpx-1-440pts,json.cbor.bz2,6124
gpx-1-440pts,json.cbor.zip,7314
gpx-1-440pts,json.eson.gz,11642
gpx-1-440pts,json.eson.bz2,11684
gpx-1-440pts,json.eson.zip,11790
gpx-1-450pts,json,48566
gpx-1-450pts,json.gz,10678
gpx-1-450pts,json.bz2,8509
gpx-1-450pts,json.zip,10826
gpx-1-450pts,json.bson,37919
gpx-1-450pts,json.cbor,32123
gpx-1-450pts,json.eson,23116
gpx-1-450pts,json.bson.gz,8216
gpx-1-450pts,json.bson.bz2,6924
gpx-1-450pts,json.bson.zip,8185
gpx-1-450pts,json.cbor.gz,7275
gpx-1-450pts,json.cbor.bz2,6210
gpx-1-450pts,json.cbor.zip,7555
gpx-1-450pts,json.eson.gz,11884
gpx-1-450pts,json.eson.bz2,11923
gpx-1-450pts,json.eson.zip,12032
gpx-1-460pts,json,49659
gpx-1-460pts,json.gz,10908
gpx-1-460pts,json.bz2,8678
gpx-1-460pts,json.zip,11056
gpx-1-460pts,json.bson,38759
gpx-1-460pts,json.cbor,32833
gpx-1-460pts,json.eson,23629
gpx-1-460pts,json.bson.gz,8318
gpx-1-460pts,json.bson.bz2,7008
gpx-1-460pts,json.bson.zip,8702
gpx-1-460pts,json.cbor.gz,7454
gpx-1-460pts,json.cbor.bz2,6367
gpx-1-460pts,json.cbor.zip,7709
gpx-1-460pts,json.eson.gz,12128
