file,variable,value
owm-1-350cities,json,216843
owm-1-350cities,json.gz,25900
owm-1-350cities,json.bz2,15668
owm-1-350cities,json.zip,26117
owm-1-350cities,json.bson,229973
owm-1-350cities,json.cbor,173580
owm-1-350cities,json.eson,48559
owm-1-350cities,json.bson.gz,32139
owm-1-350cities,json.bson.bz2,20046
owm-1-350cities,json.bson.zip,32325
owm-1-350cities,json.cbor.gz,26559
owm-1-350cities,json.cbor.bz2,17536
owm-1-350cities,json.cbor.zip,27437
owm-1-350cities,json.eson.gz,28542
owm-1-350cities,json.eson.bz2,26288
owm-1-350cities,json.eson.zip,28653
owm-1-360cities,json,223095
owm-1-360cities,json.gz,26627
owm-1-360cities,json.bz2,16026
owm-1-360cities,json.zip,26845
owm-1-360cities,json.bson,236579
owm-1-360cities,json.cbor,178576
owm-1-360cities,json.eson,50020
owm-1-360cities,json.bson.gz,33623
owm-1-360cities,json.bson.bz2,20527
owm-1-360cities,json.bson.zip,33671
owm-1-360cities,json.cbor.gz,27249
owm-1-360cities,json.cbor.bz2,17739
owm-1-360cities,json.cbor.zip,27683
owm-1-360cities,json.eson.gz,29287
owm-1-360cities,json.eson.bz2,26913
owm-1-360cities,json.eson.zip,29397
owm-1-370cities,json,229214
owm-1-370cities,json.gz,27347
owm-1-370cities,json.bz2,16384
owm-1-370cities,json.zip,27563
owm-1-370cities,json.bson,243051
owm-1-370cities,json.cbor,183451
owm-1-370cities,json.eson,51419
owm-1-370cities,json.bson.gz,35196
owm-1-370cities,json.bson.bz2,21122
owm-1-370cities,json.bson.zip,34841
owm-1-370cities,json.cbor.gz,28205
owm-1-370cities,json.cbor.bz2,18473
owm-1-370cities,json.cbor.zip,28936
owm-1-370cities,json.eson.gz,29956
owm-1-370cities,json.eson.bz2,27423
owm-1-370cities,json.eson.zip,30065
owm-1-380cities,json,235370
owm-1-380cities,json.gz,28050
owm-1-380cities,json.bz2,16831
owm-1-380cities,json.zip,28267
owm-1-380cities,json.bson,249582
owm-1-380cities,json.cbor,188365
owm-1-380cities,json.eson,52798
owm-1-380cities,json.bson.gz,35719
owm-1-380cities,json.bson.bz2,21314
owm-1-380cities,json.bson.zip,35080
owm-1-380cities,json.cbor.gz,29171
owm-1-380cities,json.cbor.bz2,18934
owm-1-380cities,json.cbor.zip,29371
owm-1-380cities,json.eson.gz,30754
owm-1-380cities,json.eson.bz2,28206
owm-1-380cities,json.eson.zip,30878
owm-1-390cities,json,241499
owm-1-390cities,json.gz,28739
owm-1-390cities,json.bz2,17059
owm-1-390cities,json.zip,28914
owm-1-390cities,json.bson,256127
owm-1-390cities,json.cbor,193282
owm-1-390cities,json.eson,54113
