file,variable,value
dfxml-05,xml.strict_bitpacked_exi.zip,1893
dfxml-05,xml.strict_bytealigned_exi,2326
dfxml-05,xml.strict_bytealigned_exi.gz,1409
dfxml-05,xml.strict_bytealigned_exi.bz2,1486
dfxml-05,xml.strict_bytealigned_exi.zip,1571
dfxml-05,xml.strict_precompress_exi,2326
dfxml-05,xml.strict_precompress_exi.gz,1335
dfxml-05,xml.strict_precompress_exi.bz2,1462
dfxml-05,xml.strict_precompress_exi.zip,1497
dfxml-05,xml.strict_compress_exi,1273
dfxml-05,xml.strict_compress_exi.gz,1325
dfxml-05,xml.strict_compress_exi.bz2,1637
dfxml-05,xml.strict_compress_exi.zip,1479
dfxml-06,xml,12069
dfxml-06,xml.gz,1697
dfxml-06,xml.bz2,2046
dfxml-06,xml.zip,1842
dfxml-06,xml.bitpacked_exi,2987
dfxml-06,xml.bitpacked_exi.gz,2540
dfxml-06,xml.bitpacked_exi.bz2,2880
dfxml-06,xml.bitpacked_exi.zip,2693
dfxml-06,xml.bytealigned_exi,4028
dfxml-06,xml.bytealigned_exi.gz,1734
dfxml-06,xml.bytealigned_exi.bz2,1798
dfxml-06,xml.bytealigned_exi.zip,1889
dfxml-06,xml.precompress_exi,4038
dfxml-06,xml.precompress_exi.gz,1623
dfxml-06,xml.precompress_exi.bz2,1764
dfxml-06,xml.precompress_exi.zip,1778
dfxml-06,xml.compress_exi,1554
dfxml-06,xml.compress_exi.gz,1599
dfxml-06,xml.compress_exi.bz2,1925
dfxml-06,xml.compress_exi.zip,1746
dfxml-06,xml.schema_bitpacked_exi,2403
dfxml-06,xml.schema_bitpacked_exi.gz,1705
dfxml-06,xml.schema_bitpacked_exi.bz2,1968
dfxml-06,xml.schema_bitpacked_exi.zip,1865
dfxml-06,xml.schema_bytealigned_exi,3627
dfxml-06,xml.schema_bytealigned_exi.gz,1203
dfxml-06,xml.schema_bytealigned_exi.bz2,1268
dfxml-06,xml.schema_bytealigned_exi.zip,1365
dfxml-06,xml.schema_precompress_exi,3627
dfxml-06,xml.schema_precompress_exi.gz,1126
dfxml-06,xml.schema_precompress_exi.bz2,1265
dfxml-06,xml.schema_precompress_exi.zip,1288
dfxml-06,xml.schema_compress_exi,1064
dfxml-06,xml.schema_compress_exi.gz,1116
dfxml-06,xml.schema_compress_exi.bz2,1372
dfxml-06,xml.schema_compress_exi.zip,1270
dfxml-06,xml.strict_bitpacked_exi,2312
dfxml-06,xml.strict_bitpacked_exi.gz,1658
dfxml-06,xml.strict_bitpacked_exi.bz2,1962
dfxml-06,xml.strict_bitpacked_exi.zip,1818
dfxml-06,xml.strict_bytealigned_exi,3252
dfxml-06,xml.strict_bytealigned_exi.gz,1173
dfxml-06,xml.strict_bytealigned_exi.bz2,1253
dfxml-06,xml.strict_bytealigned_exi.zip,1335
dfxml-06,xml.strict_precompress_exi,3252
dfxml-06,xml.strict_precompress_exi.gz,1104
dfxml-06,xml.strict_precompress_exi.bz2,1221
dfxml-06,xml.strict_precompress_exi.zip,1266
dfxml-06,xml.strict_compress_exi,1047
dfxml-06,xml.strict_compress_exi.gz,1099
dfxml-06,xml.strict_compress_exi.bz2,1341
dfxml-06,xml.strict_compress_exi.zip,1253
dfxml-07,xml,20114
dfxml-07,xml.gz,3568
dfxml-07,xml.bz2,3782
dfxml-07,xml.zip,3713
dfxml-07,xml.bitpacked_exi,6372
dfxml-07,xml.bitpacked_exi.gz,5241
dfxml-07,xml.bitpacked_exi.bz2,5443
dfxml-07,xml.bitpacked_exi.zip,5394
dfxml-07,xml.bytealigned_exi,7915
dfxml-07,xml.bytealigned_exi.gz,3550
dfxml-07,xml.bytealigned_exi.bz2,3505
dfxml-07,xml.bytealigned_exi.zip,3705
dfxml-07,xml.precompress_exi,7925
dfxml-07,xml.precompress_exi.gz,3248
dfxml-07,xml.precompress_exi.bz2,3380
dfxml-07,xml.precompress_exi.zip,3403
dfxml-07,xml.compress_exi,3174
dfxml-07,xml.compress_exi.gz,3219
dfxml-07,xml.compress_exi.bz2,3644
dfxml-07,xml.compress_exi.zip,3366
dfxml-07,xml.schema_bitpacked_exi,4840
dfxml-07,xml.schema_bitpacked_exi.gz,4010
dfxml-07,xml.schema_bitpacked_exi.bz2,4340
dfxml-07,xml.schema_bitpacked_exi.zip,4170
dfxml-07,xml.schema_bytealigned_exi,6611
dfxml-07,xml.schema_bytealigned_exi.gz,2886
dfxml-07,xml.schema_bytealigned_exi.bz2,2932
dfxml-07,xml.schema_bytealigned_exi.zip,3048
dfxml-07,xml.schema_precompress_exi,6611
dfxml-07,xml.schema_precompress_exi.gz,2679
dfxml-07,xml.schema_precompress_exi.bz2,2872
dfxml-07,xml.schema_precompress_exi.zip,2841
dfxml-07,xml.schema_compress_exi,2605
dfxml-07,xml.schema_compress_exi.gz,2657
dfxml-07,xml.schema_compress_exi.bz2,3043
dfxml-07,xml.schema_compress_exi.zip,2811
dfxml-07,xml.strict_bitpacked_exi,4694
dfxml-07,xml.strict_bitpacked_exi.gz,3942
dfxml-07,xml.strict_bitpacked_exi.bz2,4252
dfxml-07,xml.strict_bitpacked_exi.zip,4102
dfxml-07,xml.strict_bytealigned_exi,6003
dfxml-07,xml.strict_bytealigned_exi.gz,2838
dfxml-07,xml.strict_bytealigned_exi.bz2,2895
dfxml-07,xml.strict_bytealigned_exi.zip,3000
dfxml-07,xml.strict_precompress_exi,6003
dfxml-07,xml.strict_precompress_exi.gz,2654
dfxml-07,xml.strict_precompress_exi.bz2,2842
dfxml-07,xml.strict_precompress_exi.zip,2816
dfxml-07,xml.strict_compress_exi,2586
dfxml-07,xml.strict_compress_exi.gz,2638
dfxml-07,xml.strict_compress_exi.bz2,3032
dfxml-07,xml.strict_compress_exi.zip,2792
dfxml-08,xml,39305
dfxml-08,xml.gz,3612
dfxml-08,xml.bz2,4033
dfxml-08,xml.zip,3757
dfxml-08,xml.bitpacked_exi,8103
dfxml-08,xml.bitpacked_exi.gz,5815
dfxml-08,xml.bitpacked_exi.bz2,6129
dfxml-08,xml.bitpacked_exi.zip,5968
dfxml-08,xml.bytealigned_exi,11520
dfxml-08,xml.bytealigned_exi.gz,3826
dfxml-08,xml.bytealigned_exi.bz2,3622
dfxml-08,xml.bytealigned_exi.zip,3981
dfxml-08,xml.precompress_exi,11469
dfxml-08,xml.precompress_exi.gz,3298
dfxml-08,xml.precompress_exi.bz2,3353
dfxml-08,xml.precompress_exi.zip,3453
dfxml-08,xml.compress_exi,3119
dfxml-08,xml.compress_exi.gz,3164
dfxml-08,xml.compress_exi.bz2,3633
dfxml-08,xml.compress_exi.zip,3311
dfxml-08,xml.schema_bitpacked_exi,7047
dfxml-08,xml.schema_bitpacked_exi.gz,4392
dfxml-08,xml.schema_bitpacked_exi.bz2,4775
dfxml-08,xml.schema_bitpacked_exi.zip,4552
dfxml-08,xml.schema_bytealigned_exi,10551
dfxml-08,xml.schema_bytealigned_exi.gz,2886
dfxml-08,xml.schema_bytealigned_exi.bz2,2709
dfxml-08,xml.schema_bytealigned_exi.zip,3048
dfxml-08,xml.schema_precompress_exi,10551
dfxml-08,xml.schema_precompress_exi.gz,2653
dfxml-08,xml.schema_precompress_exi.bz2,2709
dfxml-08,xml.schema_precompress_exi.zip,2815
dfxml-08,xml.schema_compress_exi,2474
dfxml-08,xml.schema_compress_exi.gz,2526
dfxml-08,xml.schema_compress_exi.bz2,2927
dfxml-08,xml.schema_compress_exi.zip,2680
dfxml-08,xml.strict_bitpacked_exi,6732
dfxml-08,xml.strict_bitpacked_exi.gz,4283
dfxml-08,xml.strict_bitpacked_exi.bz2,4578
dfxml-08,xml.strict_bitpacked_exi.zip,4443
dfxml-08,xml.strict_bytealigned_exi,9253
dfxml-08,xml.strict_bytealigned_exi.gz,2790
dfxml-08,xml.strict_bytealigned_exi.bz2,2666
dfxml-08,xml.strict_bytealigned_exi.zip,2952
dfxml-08,xml.strict_precompress_exi,9253
dfxml-08,xml.strict_precompress_exi.gz,2625
dfxml-08,xml.strict_precompress_exi.bz2,2703
dfxml-08,xml.strict_precompress_exi.zip,2787
dfxml-08,xml.strict_compress_exi,2455
dfxml-08,xml.strict_compress_exi.gz,2507
dfxml-08,xml.strict_compress_exi.bz2,2950
dfxml-08,xml.strict_compress_exi.zip,2661
dfxml-09,xml,55474
dfxml-09,xml.gz,5871
dfxml-09,xml.bz2,6058
dfxml-09,xml.zip,6050
dfxml-09,xml.bitpacked_exi,13006
dfxml-09,xml.bitpacked_exi.gz,8853
dfxml-09,xml.bitpacked_exi.bz2,8959
dfxml-09,xml.bitpacked_exi.zip,9006
dfxml-09,xml.bytealigned_exi,17930
dfxml-09,xml.bytealigned_exi.gz,6010
dfxml-09,xml.bytealigned_exi.bz2,5569
dfxml-09,xml.bytealigned_exi.zip,6188
dfxml-09,xml.precompress_exi,17930
dfxml-09,xml.precompress_exi.gz,5334
dfxml-09,xml.precompress_exi.bz2,5328
dfxml-09,xml.precompress_exi.zip,5443
dfxml-09,xml.compress_exi,5031
dfxml-09,xml.compress_exi.gz,5076
dfxml-09,xml.compress_exi.bz2,5547
dfxml-09,xml.compress_exi.zip,5223
dfxml-09,xml.schema_bitpacked_exi,10869
dfxml-09,xml.schema_bitpacked_exi.gz,7354
dfxml-09,xml.schema_bitpacked_exi.bz2,7445
dfxml-09,xml.schema_bitpacked_exi.zip,7514
dfxml-09,xml.schema_bytealigned_exi,15855
dfxml-09,xml.schema_bytealigned_exi.gz,4894
dfxml-09,xml.schema_bytealigned_exi.bz2,4523
dfxml-09,xml.schema_bytealigned_exi.zip,5065
